year,species,metricTons,pounds,dollars
1950,ATLANTIC_COD,26077.50,57490400.00,3622665.00
1951,ATLANTIC_COD,22690.30,50023000.00,3634700.00
1952,ATLANTIC_COD,19815.80,43685900.00,3157820.00
1953,ATLANTIC_COD,14814.70,32660400.00,2205968.00
1954,ATLANTIC_COD,16702.90,36823200.00,2182459.00
1955,ATLANTIC_COD,16139.80,35581900.00,2156790.00
1956,ATLANTIC_COD,15933.60,35127300.00,2225148.00
1957,ATLANTIC_COD,15453.50,34068800.00,2177647.00
1958,ATLANTIC_COD,18762.00,41362700.00,3041210.00
1959,ATLANTIC_COD,21083.90,46481600.00,3312408.00
1960,ATLANTIC_COD,18317.10,40381800.00,2698022.00
1961,ATLANTIC_COD,21132.90,46589500.00,2993944.00
1962,ATLANTIC_COD,21278.20,46910000.00,3292632.00
1963,ATLANTIC_COD,19131.60,42177600.00,3105384.00
1964,ATLANTIC_COD,17575.70,38747493.00,2670706.00
1965,ATLANTIC_COD,16350.90,36047284.00,2877254.00
1966,ATLANTIC_COD,17044.40,37576100.00,3196559.00
1967,ATLANTIC_COD,20139.50,44399500.00,3577462.00
1968,ATLANTIC_COD,22324.30,49216200.00,3463465.00
1969,ATLANTIC_COD,26082.60,57501600.00,4836909.00
1970,ATLANTIC_COD,24143.20,53226100.00,5740382.00
1971,ATLANTIC_COD,24586.40,54203100.00,6516236.00
1972,ATLANTIC_COD,21149.90,46627000.00,7940962.00
1973,ATLANTIC_COD,22870.40,50420000.00,9045422.00
1974,ATLANTIC_COD,26605.60,58654800.00,11306463.00
1975,ATLANTIC_COD,25462.10,56133700.00,13214202.00
1976,ATLANTIC_COD,25415.10,56030100.00,14625769.00
1977,ATLANTIC_COD,34881.80,76900500.00,17340558.00
1978,ATLANTIC_COD,39587.30,87274200.00,21621126.00
1979,ATLANTIC_COD,45021.00,99253280.00,28891572.00
1980,ATLANTIC_COD,53422.20,117774600.00,31790379.00
1981,ATLANTIC_COD,46487.40,102486200.00,34856120.00
1982,ATLANTIC_COD,53028.50,116906600.00,39116027.00
1983,ATLANTIC_COD,50888.60,112189100.00,38190883.00
1984,ATLANTIC_COD,43856.40,96685805.00,36137916.00
1985,ATLANTIC_COD,37432.00,82522500.00,35013361.00
1986,ATLANTIC_COD,27638.10,60930900.00,36027727.00
1987,ATLANTIC_COD,26825.30,59139000.00,44180015.00
1988,ATLANTIC_COD,34603.30,76286500.00,43046947.00
1989,ATLANTIC_COD,35857.80,79052000.00,48086272.00
1990,ATLANTIC_COD,43624.40,96174274.00,61444407.00
1991,ATLANTIC_COD,42178.50,92986656.00,74296075.00
1992,ATLANTIC_COD,27918.50,61549189.00,52191065.00
1993,ATLANTIC_COD,22956.50,50609861.00,44957832.00
1994,ATLANTIC_COD,17775.50,39187760.00,36575402.00
1995,ATLANTIC_COD,13632.70,30054658.00,28588556.00
1996,ATLANTIC_COD,14238.70,31390613.00,26613886.00
1997,ATLANTIC_COD,12979.50,28614635.00,24445400.00
1998,ATLANTIC_COD,11114.00,24502026.00,25460537.00
1999,ATLANTIC_COD,9724.10,21437835.00,23932403.00
2000,ATLANTIC_COD,11371.70,25070131.00,26397506.00
2001,ATLANTIC_COD,15063.40,33208721.00,32095090.00
2002,ATLANTIC_COD,13086.40,28850296.00,30638911.00
2003,ATLANTIC_COD,10704.90,23599993.00,27535027.00
2004,ATLANTIC_COD,7283.50,16057292.00,21672070.00
2005,ATLANTIC_COD,6311.00,13913331.00,20847327.00
2006,ATLANTIC_COD,5710.00,12588182.00,20440902.00
2007,ATLANTIC_COD,7657.90,16882513.00,27070825.00
2008,ATLANTIC_COD,8690.20,19158329.00,30783436.00
2009,ATLANTIC_COD,8946.10,19722519.00,25223364.00
2010,ATLANTIC_COD,8039.40,17723579.00,28142679.00
2011,ATLANTIC_COD,7981.40,17595724.00,32598824.00
2012,ATLANTIC_COD,4765.50,10506072.00,22189915.00
